miRna,target,lp_label,confidence,mor
20040,3903,1,Medium,
20040,3904,1,Medium,
20040,3905,1,Medium,
20040,3906,1,Medium,
20040,3907,1,Medium,
20040,3908,1,Medium,
20040,3909,1,Medium,
20040,3910,1,Medium,
20040,3911,1,Medium,
20040,3912,1,Medium,
20040,3261,1,Medium,
20040,3913,1,Medium,
20040,3914,1,Medium,
20040,3915,1,Medium,
20040,3916,1,Medium,
20040,3917,1,Medium,
20040,3918,1,Medium,
20040,3919,1,Medium,
20040,3920,1,Medium,
20040,3921,1,Medium,
20040,3922,1,Medium,
20040,3923,1,Medium,
20040,3924,1,Medium,
20040,3925,1,Medium,
20040,3926,1,Medium,
20040,3927,1,Medium,
20040,3928,1,Medium,
20040,3929,1,Medium,
20040,3930,1,Medium,
20040,3931,1,Medium,
20040,3932,1,Medium,
20040,3933,1,Medium,
20040,3934,1,Medium,
20040,3935,1,Medium,
20040,3936,1,Medium,
20040,3937,1,Medium,
20040,3938,1,Medium,
20040,3939,1,Medium,
20040,3940,1,Medium,
20040,3941,1,Medium,
20040,2465,1,Medium,
20040,2408,1,Medium,
20040,3942,1,Medium,
20040,3943,1,Medium,
20040,3944,1,Medium,
20040,3945,1,Medium,
20040,3946,1,Medium,
20040,3947,1,Medium,
20040,3948,1,Medium,
20040,3949,1,Medium,
20040,3950,1,Medium,
20040,3951,1,Medium,
20040,3952,1,Medium,
20040,3953,1,Medium,
20040,3954,1,Medium,
20040,3955,1,Medium,
20040,3956,1,Medium,
20040,3957,1,Medium,
20040,3958,1,Medium,
20040,3959,1,Medium,
20040,3960,1,Medium,
20040,3961,1,Medium,
20040,3962,1,Medium,
20040,3963,1,Medium,
20040,3964,1,Medium,
20040,3965,1,Medium,
20040,3966,1,Medium,
20040,3967,1,Medium,
20040,3968,1,Medium,
20040,3969,1,Medium,
20040,3648,1,Medium,
20040,3970,1,Medium,
20040,3656,1,Medium,
20040,3971,1,Medium,
20040,3972,1,Medium,
20040,2430,1,Medium,
20040,3973,1,Medium,
20040,3479,1,Medium,
20040,1959,1,Medium,
20040,2013,1,Medium,
20040,3974,1,Medium,
20040,3692,1,Medium,
20040,3975,1,Medium,
20040,3976,1,Medium,
20040,3977,1,Medium,
20040,3978,1,Medium,
20040,3979,1,Medium,
20040,3980,1,Medium,
20040,3981,1,Medium,
20040,1886,1,Medium,
20040,3982,1,Medium,
20040,3983,1,Medium,
20040,3984,1,Medium,
20040,3199,1,Medium,
20040,3985,1,Medium,
20040,3986,1,Medium,
20040,3409,1,Medium,
20040,3987,1,Medium,
20040,3988,1,Medium,
20040,3989,1,Medium,
20040,3990,1,Medium,
20040,3991,1,Medium,
20040,2060,1,Medium,
20040,3992,1,Medium,
20040,3993,1,Medium,
20040,3994,1,Medium,
20040,3995,1,Medium,
20040,3532,1,Medium,
20040,3996,1,Medium,
