TF,TF,lp_label,confidence,mor
46,14,1,High,Unknown
46,81,1,High,Unknown
46,53,1,High,Unknown
46,194,1,High,Activation
47,194,1,High,Unknown
47,53,1,High,Unknown
47,81,1,High,Unknown
48,194,1,High,Unknown
48,53,1,High,Unknown
48,81,1,High,Unknown
49,194,1,High,Unknown
50,194,1,High,Unknown
50,81,1,High,Unknown
50,53,1,High,Unknown
51,194,1,High,Unknown
51,81,1,High,Unknown
51,53,1,High,Unknown
52,53,1,High,Unknown
52,81,1,High,Unknown
53,194,1,High,Unknown
53,290,1,High,Unknown
53,50,1,High,Unknown
53,15,1,High,Unknown
53,49,1,High,Unknown
53,46,1,High,Activation
53,48,1,High,Unknown
53,47,1,High,Unknown
53,82,1,High,Unknown
53,59,1,High,Unknown
53,51,1,High,Unknown
53,52,1,High,Unknown
53,122,1,High,Unknown
53,170,1,High,Unknown
53,353,1,High,Unknown
53,291,1,High,Unknown
53,352,1,High,Unknown
53,338,1,High,Unknown
53,311,1,High,Unknown
53,313,1,High,Unknown
53,312,1,High,Unknown
53,344,1,High,Unknown
53,340,1,High,Unknown
53,339,1,High,Unknown
53,343,1,High,Unknown
53,341,1,High,Unknown
53,342,1,High,Unknown
53,354,1,High,Unknown
53,370,1,High,Unknown
55,10,1,High,Unknown
55,55,1,High,Unknown
55,45,1,High,Unknown
55,256,1,High,Unknown
55,234,1,High,Unknown
55,257,1,High,Unknown
55,258,1,High,Unknown
57,302,1,High,Unknown
57,290,1,High,Unknown
57,191,1,High,Unknown
57,170,1,High,Unknown
57,354,1,High,Unknown
57,353,1,High,Unknown
57,352,1,High,Unknown
57,291,1,High,Unknown
59,34,1,High,Activation
59,352,1,High,Unknown
59,347,1,High,Unknown
59,305,1,High,Unknown
59,353,1,High,Unknown
59,334,1,High,Unknown
59,354,1,High,Unknown
59,170,1,High,Unknown
59,72,1,High,Unknown
59,59,1,High,Unknown
59,60,1,High,Unknown
59,53,1,High,Unknown
59,43,1,High,Unknown
59,5,1,High,Unknown
59,81,1,High,Unknown
60,59,1,High,Unknown
63,179,1,High,Unknown
63,176,1,High,Unknown
63,18,1,High,Unknown
63,178,1,High,Unknown
63,17,1,High,Unknown
63,15,1,High,Unknown
63,214,1,High,Unknown
63,177,1,High,Unknown
63,383,1,High,Unknown
65,231,1,High,Unknown
65,233,1,High,Unknown
65,232,1,High,Unknown
66,672,1,High,Activation
66,847,1,High,Activation
66,372,1,High,Activation
66,808,1,High,Unknown
66,1101,1,High,Activation
66,308,1,High,Activation
66,748,1,High,Activation
66,750,1,High,Unknown
66,269,1,High,Unknown
66,744,1,High,Activation
66,244,1,High,Activation
66,1055,1,High,Unknown
66,1049,1,High,Activation
66,716,1,High,Unknown
66,205,1,High,Unknown
66,1026,1,High,Unknown
66,606,1,High,Activation
66,602,1,High,Activation
66,583,1,High,Unknown
66,152,1,High,Activation
66,586,1,High,Unknown
66,139,1,High,Unknown
66,109,1,High,Activation
66,101,1,High,Activation
66,481,1,High,Unknown
66,473,1,High,Activation
66,72,1,High,Activation
66,65,1,High,Unknown
66,938,1,High,Activation
66,68,1,High,Activation
66,185,1,High,Unknown
66,187,1,High,Activation
66,282,1,High,Activation
66,287,1,High,Activation
66,288,1,High,Unknown
66,66,1,High,Unknown
66,1029,1,Medium,Unknown
66,36,1,High,Activation
66,812,1,High,Unknown
66,1056,1,High,Activation
66,196,1,High,Activation
66,558,1,High,Unknown
66,140,1,High,Activation
66,987,1,High,Activation
66,34,1,High,Activation
66,251,1,Medium,Unknown
66,248,1,Medium,Unknown
66,8,1,High,Unknown
66,853,1,High,Unknown
66,753,1,Medium,Unknown
66,633,1,Medium,Unknown
66,189,1,High,Activation
66,188,1,High,Activation
66,186,1,Medium,Unknown
66,623,1,Medium,Unknown
66,619,1,Medium,Unknown
66,128,1,Medium,Unknown
66,124,1,High,Activation
66,556,1,Medium,Unknown
66,516,1,Medium,Unknown
66,58,1,Medium,Unknown
66,458,1,High,Repression
66,452,1,Medium,Unknown
66,409,1,Medium,Unknown
66,420,1,Medium,Unknown
66,422,1,Medium,Unknown
66,337,1,Medium,Unknown
66,804,1,Medium,Unknown
66,860,1,High,Activation
66,1130,1,Medium,Unknown
66,841,1,Medium,Unknown
66,387,1,High,Activation
66,1313,1,High,Activation
66,1432,1,High,Unknown
66,1434,1,High,Unknown
66,1491,1,High,Unknown
66,1493,1,High,Activation
66,1511,1,High,Activation
66,1581,1,High,Unknown
66,1587,1,High,Unknown
66,1291,1,High,Unknown
66,1296,1,High,Unknown
66,1244,1,High,Unknown
66,1218,1,High,Unknown
66,858,1,High,Activation
66,1510,1,Medium,Unknown
66,1506,1,Medium,Unknown
66,1423,1,Medium,Unknown
66,779,1,Medium,Unknown
66,32,1,High,Activation
67,1079,1,High,Unknown
67,282,1,High,Unknown
67,32,1,High,Unknown
67,1313,1,High,Unknown
67,1434,1,High,Unknown
67,1491,1,High,Unknown
67,1493,1,High,Unknown
67,858,1,High,Unknown
67,372,1,High,Unknown
67,812,1,High,Unknown
67,1072,1,High,Unknown
67,748,1,High,Unknown
67,736,1,High,Unknown
67,1026,1,High,Unknown
67,672,1,High,Unknown
67,287,1,High,Unknown
67,960,1,High,Unknown
67,109,1,High,Unknown
67,65,1,High,Unknown
67,912,1,High,Unknown
68,372,1,High,Activation
68,812,1,High,Unknown
68,287,1,High,Unknown
69,199,1,High,Activation
69,200,1,High,Unknown
69,288,1,High,Activation
69,287,1,High,Activation
69,282,1,High,Repression
69,187,1,High,Activation
69,188,1,High,Activation
69,68,1,High,Activation
69,185,1,High,Activation
69,566,1,High,Activation
69,441,1,High,Activation
69,409,1,High,Activation
69,32,1,High,Unknown
69,1049,1,High,Unknown
69,881,1,High,Activation
69,892,1,High,Unknown
69,895,1,High,Activation
69,380,1,High,Activation
69,848,1,High,Unknown
69,372,1,High,Unknown
69,370,1,High,Unknown
69,829,1,High,Unknown
69,812,1,High,Activation
69,357,1,High,Unknown
69,789,1,High,Activation
69,329,1,High,Activation
69,790,1,High,Unknown
69,776,1,High,Activation
69,292,1,High,Activation
69,281,1,High,Unknown
69,223,1,High,Unknown
69,688,1,High,Activation
69,220,1,High,Activation
69,1033,1,High,Unknown
69,583,1,High,Activation
69,163,1,High,Activation
69,603,1,High,Activation
69,606,1,High,Activation
69,126,1,High,Unknown
69,558,1,High,Activation
69,517,1,High,Activation
69,19,1,High,Unknown
69,67,1,High,Activation
69,76,1,High,Unknown
69,944,1,High,Unknown
69,34,1,High,Activation
69,30,1,High,Activation
69,411,1,High,Activation
69,414,1,High,Activation
69,312,1,High,Unknown
69,311,1,High,Unknown
69,289,1,High,Unknown
69,313,1,High,Unknown
70,199,1,High,Activation
70,313,1,High,Unknown
70,312,1,High,Unknown
70,311,1,High,Unknown
70,289,1,High,Unknown
70,288,1,High,Unknown
71,812,1,High,Unknown
73,280,1,High,Activation
73,196,1,High,Repression
73,367,1,High,Activation
73,370,1,High,Activation
73,381,1,High,Activation
73,1200,1,High,Unknown
73,287,1,High,Unknown
73,293,1,High,Repression
73,273,1,High,Activation
73,323,1,High,Activation
73,360,1,High,Activation
73,372,1,High,Activation
73,252,1,High,Activation
73,59,1,High,Activation
73,78,1,High,Activation
73,440,1,High,Activation
73,39,1,High,Activation
73,155,1,High,Repression
73,163,1,High,Activation
73,149,1,High,Activation
73,72,1,High,Activation
73,153,1,High,Activation
73,34,1,High,Activation
73,6,1,High,Repression
73,397,1,High,Unknown
73,539,1,Medium,Unknown
73,124,1,Medium,Unknown
73,73,1,Medium,Unknown
73,933,1,Medium,Unknown
73,932,1,Medium,Unknown
73,32,1,Medium,Unknown
73,927,1,Medium,Unknown
73,292,1,Medium,Unknown
73,756,1,Medium,Unknown
73,285,1,Medium,Unknown
73,1014,1,Medium,Unknown
73,254,1,Medium,Unknown
73,244,1,Medium,Unknown
73,225,1,Medium,Unknown
73,708,1,Medium,Unknown
73,675,1,Medium,Unknown
73,676,1,High,Activation
73,1028,1,Medium,Unknown
73,637,1,Medium,Unknown
73,616,1,Medium,Unknown
73,170,1,Medium,Unknown
73,621,1,Medium,Unknown
73,601,1,Medium,Unknown
73,596,1,Medium,Unknown
73,168,1,Medium,Unknown
73,165,1,Medium,Unknown
73,1013,1,Medium,Unknown
73,590,1,Medium,Unknown
73,525,1,Medium,Unknown
73,978,1,Medium,Unknown
73,859,1,Medium,Unknown
73,485,1,Medium,Unknown
73,503,1,Medium,Unknown
73,106,1,Medium,Unknown
73,379,1,Medium,Unknown
73,878,1,Medium,Unknown
73,1184,1,Medium,Unknown
73,1507,1,Medium,Unknown
73,462,1,Medium,Unknown
73,302,1,Medium,Unknown
73,329,1,Medium,Unknown
73,455,1,Medium,Unknown
73,950,1,Medium,Unknown
73,778,1,Medium,Unknown
73,781,1,Medium,Unknown
73,785,1,Medium,Unknown
74,135,1,High,Activation
74,372,1,High,Activation
74,994,1,High,Activation
75,372,1,High,Activation
76,153,1,High,Activation
76,367,1,High,Activation
77,221,1,High,Unknown
77,179,1,High,Unknown
77,178,1,High,Unknown
77,214,1,High,Unknown
77,177,1,High,Unknown
77,176,1,High,Unknown
77,156,1,High,Unknown
78,174,1,High,Unknown
78,180,1,High,Unknown
78,252,1,High,Activation
78,336,1,High,Activation
78,367,1,High,Activation
78,34,1,High,Unknown
78,97,1,High,Activation
78,73,1,High,Activation
78,780,1,High,Unknown
78,175,1,High,Unknown
78,176,1,High,Unknown
78,181,1,High,Unknown
78,177,1,High,Unknown
78,179,1,High,Unknown
78,178,1,High,Unknown
78,182,1,High,Unknown
79,97,1,High,Repression
80,97,1,High,Activation
80,336,1,High,Unknown
80,180,1,High,Unknown
80,179,1,High,Unknown
80,178,1,High,Unknown
80,177,1,High,Unknown
80,176,1,High,Unknown
80,174,1,High,Unknown
81,52,1,High,Unknown
81,49,1,High,Unknown
81,50,1,High,Unknown
81,194,1,High,Unknown
81,51,1,High,Unknown
81,47,1,High,Unknown
81,48,1,High,Unknown
81,15,1,High,Unknown
81,82,1,High,Unknown
81,59,1,High,Unknown
81,46,1,High,Unknown
81,341,1,High,Unknown
81,122,1,High,Unknown
81,170,1,High,Unknown
81,340,1,High,Unknown
81,311,1,High,Unknown
81,291,1,High,Unknown
81,290,1,High,Unknown
81,339,1,High,Unknown
81,312,1,High,Unknown
81,338,1,High,Unknown
81,313,1,High,Unknown
81,370,1,High,Unknown
81,343,1,High,Unknown
81,342,1,High,Unknown
81,354,1,High,Unknown
81,344,1,High,Unknown
81,353,1,High,Unknown
81,352,1,High,Unknown
82,360,1,High,Unknown
82,151,1,High,Unknown
82,252,1,High,Activation
82,349,1,High,Unknown
82,348,1,High,Unknown
82,53,1,High,Unknown
82,81,1,High,Unknown
82,9,1,High,Unknown
82,8,1,High,Unknown
82,380,1,High,Unknown
83,85,1,High,Unknown
83,163,1,High,Unknown
83,1083,1,High,Unknown
83,746,1,High,Unknown
84,281,1,High,Unknown
85,2,1,High,Activation
85,313,1,High,Unknown
85,357,1,High,Activation
85,679,1,High,Unknown
85,331,1,High,Activation
85,1354,1,High,Unknown
85,855,1,High,Activation
85,342,1,High,Activation
85,680,1,High,Activation
85,788,1,High,Unknown
85,329,1,High,Activation
85,334,1,High,Activation
85,283,1,High,Activation
85,304,1,High,Activation
85,743,1,High,Unknown
85,682,1,High,Unknown
85,753,1,High,Repression
85,273,1,High,Activation
85,259,1,High,Activation
85,239,1,High,Unknown
85,235,1,High,Unknown
85,199,1,High,Activation
85,644,1,High,Activation
85,678,1,High,Activation
85,196,1,High,Activation
85,167,1,High,Activation
85,163,1,High,Activation
85,164,1,High,Activation
85,473,1,High,Activation
85,115,1,High,Unknown
85,128,1,High,Activation
85,97,1,High,Activation
85,104,1,High,Activation
85,72,1,High,Activation
85,83,1,High,Activation
85,486,1,High,Activation
85,34,1,High,Activation
85,66,1,High,Activation
85,35,1,High,Activation
85,26,1,High,Activation
85,1,1,High,Activation
86,53,1,High,Unknown
86,163,1,High,Activation
86,680,1,High,Unknown
86,342,1,High,Unknown
86,788,1,High,Unknown
86,283,1,High,Activation
86,259,1,High,Activation
86,273,1,High,Unknown
86,743,1,High,Unknown
86,97,1,High,Activation
86,72,1,High,Unknown
88,370,1,High,Activation
88,367,1,High,Activation
88,362,1,High,Unknown
88,313,1,High,Activation
88,355,1,High,Activation
88,302,1,High,Activation
88,722,1,High,Activation
88,196,1,High,Activation
88,199,1,High,Unknown
88,73,1,High,Activation
88,644,1,High,Repression
88,153,1,High,Repression
88,149,1,High,Unknown
88,107,1,High,Unknown
88,961,1,High,Activation
88,517,1,High,Activation
88,97,1,High,Activation
88,99,1,High,Activation
88,88,1,High,Unknown
88,89,1,High,Activation
88,90,1,High,Activation
88,44,1,High,Unknown
88,35,1,High,Activation
88,34,1,High,Activation
88,25,1,High,Activation
88,31,1,High,Unknown
88,180,1,High,Unknown
88,174,1,High,Unknown
89,1123,1,High,Unknown
89,370,1,High,Activation
89,199,1,High,Activation
89,196,1,High,Unknown
89,197,1,High,Unknown
89,153,1,High,Unknown
89,644,1,High,Activation
89,164,1,High,Unknown
89,163,1,High,Unknown
89,107,1,High,Unknown
89,99,1,High,Activation
89,97,1,High,Activation
89,73,1,High,Activation
89,96,1,High,Activation
89,83,1,High,Activation
89,88,1,High,Unknown
89,30,1,High,Activation
89,34,1,High,Unknown
89,180,1,High,Unknown
89,174,1,High,Unknown
90,30,1,High,Unknown
90,378,1,High,Unknown
90,381,1,High,Activation
90,367,1,High,Activation
90,239,1,High,Unknown
90,196,1,High,Unknown
90,154,1,High,Unknown
90,89,1,High,Unknown
90,97,1,High,Unknown
90,96,1,High,Unknown
90,88,1,High,Activation
92,180,1,High,Unknown
92,174,1,High,Unknown
93,174,1,High,Unknown
93,180,1,High,Unknown
96,775,1,High,Unknown
96,336,1,High,Unknown
96,346,1,High,Unknown
96,711,1,High,Unknown
96,746,1,High,Unknown
96,582,1,High,Activation
