miRna,TF,lp_label,confidence,mor
20042,94,1,Medium,
20042,967,1,Medium,
20042,512,1,Medium,
20042,517,1,Medium,
20042,533,1,Medium,
20042,561,1,Medium,
20042,981,1,Medium,
20042,124,1,Medium,
20042,986,1,Medium,
20042,553,1,Medium,
20042,574,1,Medium,
20042,132,1,Medium,
20042,127,1,Medium,
20042,141,1,Medium,
20042,137,1,Medium,
20042,155,1,Medium,
20042,153,1,Medium,
20042,1001,1,Medium,
20042,619,1,Medium,
20042,621,1,Medium,
20042,633,1,Medium,
20042,627,1,Medium,
20043,459,1,Medium,
20043,945,1,Medium,
20043,479,1,Medium,
20043,71,1,Medium,
20043,70,1,Medium,
20043,67,1,Medium,
20043,75,1,Medium,
20043,619,1,Medium,
20043,94,1,Medium,
20043,512,1,Medium,
20043,141,1,Medium,
20043,137,1,Medium,
20043,981,1,Medium,
20043,553,1,Medium,
20043,127,1,Medium,
20043,986,1,Medium,
20043,124,1,Medium,
20043,561,1,Medium,
20043,574,1,Medium,
20043,1001,1,Medium,
20043,1003,1,Medium,
20043,595,1,Medium,
20043,750,1,Medium,
20043,627,1,Medium,
20043,196,1,Medium,
20043,669,1,Medium,
20043,1021,1,Medium,
20043,192,1,Medium,
20043,650,1,Medium,
20043,1028,1,Medium,
20043,678,1,Medium,
20043,680,1,Medium,
20043,718,1,Medium,
20043,725,1,Medium,
20043,1054,1,Medium,
20043,731,1,Medium,
20043,263,1,Medium,
20043,741,1,Medium,
20043,275,1,Medium,
20043,266,1,Medium,
20043,1070,1,Medium,
20043,1560,1,Medium,
20043,1283,1,Medium,
20043,1258,1,Medium,
20043,1186,1,Medium,
20043,1535,1,Medium,
20043,1342,1,Medium,
20043,1302,1,Medium,
20043,1337,1,Medium,
20043,1305,1,Medium,
20043,1322,1,Medium,
20043,1506,1,Medium,
20043,1346,1,Medium,
20043,1343,1,Medium,
20043,1414,1,Medium,
20043,901,1,Medium,
20043,1646,1,Medium,
20043,1073,1,Medium,
20043,302,1,Medium,
20043,311,1,Medium,
20043,1143,1,Medium,
20043,877,1,Medium,
20043,1167,1,Medium,
20043,912,1,Medium,
20043,11,1,Medium,
20043,410,1,Medium,
20043,409,1,Medium,
20043,930,1,Medium,
20043,426,1,Medium,
20043,434,1,Medium,
20043,824,1,Medium,
20043,1083,1,Medium,
20044,805,1,Medium,
20044,1105,1,Medium,
20044,553,1,Medium,
20044,808,1,Medium,
20044,1302,1,Medium,
20044,815,1,Medium,
20044,838,1,Medium,
20044,824,1,Medium,
20044,1283,1,Medium,
20044,1258,1,Medium,
20044,1143,1,Medium,
20044,1218,1,Medium,
20044,877,1,Medium,
20044,1506,1,Medium,
20044,1471,1,Medium,
20044,1342,1,Medium,
20044,1346,1,Medium,
20044,1549,1,Medium,
