:ID,name,:LABEL
305,RUVBL1,TF
306,RXRA,TF
307,RXRB,TF
308,RXRG,TF
309,SIX1,TF
310,SMAD1,TF
311,SMAD2,TF
312,SMAD3,TF
313,SMAD4,TF
314,SMAD5,TF
315,SMAD6,TF
316,SMAD7,TF
317,SMAD9,TF
318,SMG1,TF
319,SMURF2,TF
320,SNAI1,TF
321,SNAI2,TF
322,SNW1,TF
323,SOS1,TF
324,SOS2,TF
325,SOX10,TF
326,SOX17,TF
327,SOX2,TF
328,SOX9,TF
329,SP1,TF
330,SP2,TF
331,SP3,TF
332,SP4,TF
333,SPI1,TF
334,SRC,TF
335,SREBF1,TF
336,SRF,TF
337,SRSF1,TF
338,STAT1,TF
339,STAT2,TF
340,STAT3,TF
341,STAT4,TF
342,STAT5A,TF
343,STAT5B,TF
344,STAT6,TF
345,SUFU,TF
346,TAL1,TF
347,TBL1X,TF
348,TCEB1,TF
349,TCEB2,TF
350,TCF3,TF
351,TCF4,TF
352,TCF7,TF
353,TCF7L1,TF
354,TCF7L2,TF
355,TFAP2A,TF
356,TFAP2B,TF
357,TFAP2C,TF
358,TFDP1,TF
359,TFDP2,TF
360,TGFB1,TF
361,TLR2,TF
362,TLR4,TF
363,TLR7,TF
364,TLR8,TF
365,TLX1,TF
366,TLX3,TF
367,TNF,TF
368,TNFAIP3,TF
369,TNFSF12,TF
370,TP53,TF
371,TP63,TF
372,TP73,TF
373,TRIM25,TF
374,TRIP6,TF
375,TSG101,TF
376,TWIST1,TF
377,U2AF1,TF
378,USF1,TF
379,USF2,TF
380,VHL,TF
381,WT1,TF
382,WWP1,TF
383,XBP1,TF
384,YY1,TF
385,ZBTB16,TF
386,ZBTB17,TF
387,ZEB1,TF
388,ZEB2,TF
389,ZFP42,TF
390,ZIC2,TF
391,ZNF274,TF
392,AATF,TF
393,AES,TF
394,AHR,TF
395,AIP,TF
396,AIRE,TF
397,ANKRD1,TF
398,APEX1,TF
399,ARID1A,TF
400,ARID1B,TF
401,ARID3A,TF
402,ARNTL2,TF
403,ARX,TF
404,ASCL1,TF
405,ASXL1,TF
406,ATF7,TF
407,ATOH1,TF
408,ATRX,TF
409,BACH1,TF
410,BACH2,TF
411,BARD1,TF
412,BARX2,TF
413,BATF,TF
414,BCL11A,TF
415,BDP1,TF
416,BHLHE41,TF
417,BIN1,TF
418,BMI1,TF
419,BPTF,TF
420,BRD7,TF
421,BRIP1,TF
422,BRPF1,TF
423,BTAF1,TF
424,BTF3,TF
425,BTG2,TF
426,CBFA2T3,TF
427,CBFB,TF
428,CBX7,TF
429,CBX8,TF
430,CDC5L,TF
431,CDCA7L,TF
432,CDX1,TF
433,CEBPZ,TF
434,CHD4,TF
435,CITED2,TF
436,CNBP,TF
437,CNOT7,TF
438,CNOT8,TF
439,COPS5,TF
440,CRABP2,TF
441,CREG1,TF
442,CRTC1,TF
443,CRX,TF
444,CTCFL,TF
445,CUX1,TF
446,DACH1,TF
447,DBP,TF
448,DDB1,TF
449,DDB2,TF
450,DEAF1,TF
451,DEDD,TF
452,DEK,TF
453,DENND4A,TF
454,DLX3,TF
455,DLX4,TF
456,DLX5,TF
457,DMAP1,TF
458,DNMT1,TF
459,DNMT3A,TF
460,DNMT3L,TF
461,DR1,TF
462,DRAP1,TF
463,DUX4,TF
464,E2F7,TF
465,E2F8,TF
